@timestamp,SourceIP,SrcPort,DstIP,DstPort,Protocol,tcpFlagsSequence,tcpSynTotalCount,tcpRstTotalCount,tcpPshTotalCount,tcpAckTotalCount,tcpUrgTotalCount,Duration
2026-02-10T06:44:46.936437326Z,192.168.0.184,61594,18.164.242.214,443,6,"....S.,.A....,.AP...,...R..,...R..,...R..,...R..,...R..,...R..,...R..",1,8,1,2,0,5.993
2026-02-10T07:21:48.901934094Z,192.168.0.184,61594,18.164.242.214,443,6,"....S.,.A....,.AP...,...R..,...R..,...R..,...R..,...R..,...R..,...R..",1,8,1,2,0,5.993
2026-02-10T06:44:33.486595428Z,192.168.0.184,61594,18.164.242.214,443,6,"....S.,.A....,.AP...,...R..,...R..,...R..,...R..,...R..,...R..,...R..",1,8,1,2,0,5.993
2026-02-10T07:21:48.978641877Z,192.168.0.184,61594,18.164.242.214,443,6,"....S.,.A....,.AP...,...R..,...R..,...R..,...R..,...R..,...R..,...R..",1,8,1,2,0,5.993
2026-02-10T07:21:48.902668662Z,192.168.0.184,61594,18.164.242.214,443,6,"....S.,.A....,.AP...,...R..,...R..,...R..,...R..,...R..,...R..,...R..",1,8,1,2,0,5.993
2026-02-10T07:21:48.979099165Z,192.168.0.184,61594,18.164.242.214,443,6,"....S.,.A....,.AP...,...R..,...R..,...R..,...R..,...R..,...R..,...R..",1,8,1,2,0,5.993
2026-02-10T07:21:48.902775689Z,192.168.0.184,61594,18.164.242.214,443,6,"....S.,.A....,.AP...,...R..,...R..,...R..,...R..,...R..,...R..,...R..",1,8,1,2,0,5.993
2026-02-10T06:32:31.303902969Z,192.168.0.184,61594,18.164.242.214,443,6,"....S.,.A....,.AP...,...R..,...R..,...R..,...R..,...R..,...R..,...R..",1,8,1,2,0,5.993
2026-02-10T06:23:15.315015794Z,192.168.0.184,61594,18.164.242.214,443,6,"....S.,.A....,.AP...,...R..,...R..,...R..,...R..,...R..,...R..,...R..",1,8,1,2,0,5.993
2026-02-10T06:23:15.315945553Z,192.168.0.184,61594,18.164.242.214,443,6,"....S.,.A....,.AP...,...R..,...R..,...R..,...R..,...R..,...R..,...R..",1,8,1,2,0,5.993
2026-02-10T07:21:48.876882093Z,192.168.0.184,61594,18.164.242.214,443,6,"....S.,.A....,.AP...,...R..,...R..,...R..,...R..,...R..,...R..,...R..",1,8,1,2,0,5.993
2026-02-10T07:21:48.875650005Z,192.168.0.184,61594,18.164.242.214,443,6,"....S.,.A....,.AP...,...R..,...R..,...R..,...R..,...R..,...R..,...R..",1,8,1,2,0,5.993
2026-02-10T06:22:52.778707984Z,192.168.0.184,61594,18.164.242.214,443,6,"....S.,.A....,.AP...,...R..,...R..,...R..,...R..,...R..,...R..,...R..",1,8,1,2,0,5.993
2026-02-10T07:21:48.978560991Z,192.168.0.184,61594,18.164.242.214,443,6,"....S.,.A....,.AP...,...R..,...R..,...R..,...R..,...R..,...R..,...R..",1,8,1,2,0,5.993
2026-02-10T06:32:31.344311228Z,192.168.0.184,61594,18.164.242.214,443,6,"....S.,.A....,.AP...,...R..,...R..,...R..,...R..,...R..,...R..,...R..",1,8,1,2,0,5.993
2026-02-10T06:23:15.316043214Z,192.168.0.184,61594,18.164.242.214,443,6,"....S.,.A....,.AP...,...R..,...R..,...R..,...R..,...R..,...R..,...R..",1,8,1,2,0,5.993
2026-02-10T07:21:48.884372955Z,192.168.0.184,61594,18.164.242.214,443,6,"....S.,.A....,.AP...,...R..,...R..,...R..,...R..,...R..,...R..,...R..",1,8,1,2,0,5.993
2026-02-10T07:21:48.883676013Z,192.168.0.184,61594,18.164.242.214,443,6,"....S.,.A....,.AP...,...R..,...R..,...R..,...R..,...R..,...R..,...R..",1,8,1,2,0,5.993
2026-02-10T06:22:52.707342715Z,192.168.0.184,61594,18.164.242.214,443,6,"....S.,.A....,.AP...,...R..,...R..,...R..,...R..,...R..,...R..,...R..",1,8,1,2,0,5.993
2026-02-10T07:21:48.979065412Z,192.168.0.184,61594,18.164.242.214,443,6,"....S.,.A....,.AP...,...R..,...R..,...R..,...R..,...R..,...R..,...R..",1,8,1,2,0,5.993
2026-02-10T06:32:31.344377579Z,192.168.0.184,61594,18.164.242.214,443,6,"....S.,.A....,.AP...,...R..,...R..,...R..,...R..,...R..,...R..,...R..",1,8,1,2,0,5.993
2026-02-10T07:22:01.714960721Z,192.168.0.184,61594,18.164.242.214,443,6,"....S.,.A....,.AP...,...R..,...R..,...R..,...R..,...R..,...R..,...R..",1,8,1,2,0,5.993
2026-02-10T06:23:15.859392550Z,192.168.0.184,61594,18.164.242.214,443,6,"....S.,.A....,.AP...,...R..,...R..,...R..,...R..,...R..,...R..,...R..",1,8,1,2,0,5.993
2026-02-10T07:21:48.902122301Z,192.168.0.184,61594,18.164.242.214,443,6,"....S.,.A....,.AP...,...R..,...R..,...R..,...R..,...R..,...R..,...R..",1,8,1,2,0,5.993
2026-02-10T07:21:48.883463815Z,192.168.0.184,61594,18.164.242.214,443,6,"....S.,.A....,.AP...,...R..,...R..,...R..,...R..,...R..,...R..,...R..",1,8,1,2,0,5.993
2026-02-10T06:22:52.707035923Z,192.168.0.184,61594,18.164.242.214,443,6,"....S.,.A....,.AP...,...R..,...R..,...R..,...R..,...R..,...R..,...R..",1,8,1,2,0,5.993
2026-02-10T07:21:48.979122684Z,192.168.0.184,61594,18.164.242.214,443,6,"....S.,.A....,.AP...,...R..,...R..,...R..,...R..,...R..,...R..,...R..",1,8,1,2,0,5.993
2026-02-10T07:21:48.884535494Z,192.168.0.184,61594,18.164.242.214,443,6,"....S.,.A....,.AP...,...R..,...R..,...R..,...R..,...R..,...R..,...R..",1,8,1,2,0,5.993
2026-02-10T07:21:48.875774711Z,192.168.0.184,61594,18.164.242.214,443,6,"....S.,.A....,.AP...,...R..,...R..,...R..,...R..,...R..,...R..,...R..",1,8,1,2,0,5.993
2026-02-10T06:23:15.858508813Z,192.168.0.184,61594,18.164.242.214,443,6,"....S.,.A....,.AP...,...R..,...R..,...R..,...R..,...R..,...R..,...R..",1,8,1,2,0,5.993
2026-02-10T07:21:48.891636765Z,192.168.0.184,61594,18.164.242.214,443,6,"....S.,.A....,.AP...,...R..,...R..,...R..,...R..,...R..,...R..,...R..",1,8,1,2,0,5.993
2026-02-10T06:22:52.780312675Z,192.168.0.184,61594,18.164.242.214,443,6,"....S.,.A....,.AP...,...R..,...R..,...R..,...R..,...R..,...R..,...R..",1,8,1,2,0,5.993
2026-02-10T07:21:48.891892371Z,192.168.0.184,61594,18.164.242.214,443,6,"....S.,.A....,.AP...,...R..,...R..,...R..,...R..,...R..,...R..,...R..",1,8,1,2,0,5.993
2026-02-10T06:23:15.314887961Z,192.168.0.184,61594,18.164.242.214,443,6,"....S.,.A....,.AP...,...R..,...R..,...R..,...R..,...R..,...R..,...R..",1,8,1,2,0,5.993
2026-02-10T07:21:48.884653671Z,192.168.0.184,61594,18.164.242.214,443,6,"....S.,.A....,.AP...,...R..,...R..,...R..,...R..,...R..,...R..,...R..",1,8,1,2,0,5.993
2026-02-10T06:23:15.858678625Z,192.168.0.184,61594,18.164.242.214,443,6,"....S.,.A....,.AP...,...R..,...R..,...R..,...R..,...R..,...R..,...R..",1,8,1,2,0,5.993
2026-02-10T07:21:48.876990348Z,192.168.0.184,61594,18.164.242.214,443,6,"....S.,.A....,.AP...,...R..,...R..,...R..,...R..,...R..,...R..,...R..",1,8,1,2,0,5.993
2026-02-10T07:21:48.891796502Z,192.168.0.184,61594,18.164.242.214,443,6,"....S.,.A....,.AP...,...R..,...R..,...R..,...R..,...R..,...R..,...R..",1,8,1,2,0,5.993
2026-02-10T06:22:52.707267904Z,192.168.0.184,61594,18.164.242.214,443,6,"....S.,.A....,.AP...,...R..,...R..,...R..,...R..,...R..,...R..,...R..",1,8,1,2,0,5.993
2026-02-10T07:21:48.902991096Z,192.168.0.184,61594,18.164.242.214,443,6,"....S.,.A....,.AP...,...R..,...R..,...R..,...R..,...R..,...R..,...R..",1,8,1,2,0,5.993
2026-02-10T06:23:15.314987536Z,192.168.0.184,61594,18.164.242.214,443,6,"....S.,.A....,.AP...,...R..,...R..,...R..,...R..,...R..,...R..,...R..",1,8,1,2,0,5.993
2026-02-10T07:21:48.892462503Z,192.168.0.184,61594,18.164.242.214,443,6,"....S.,.A....,.AP...,...R..,...R..,...R..,...R..,...R..,...R..,...R..",1,8,1,2,0,5.993
2026-02-10T06:23:15.858708787Z,192.168.0.184,61594,18.164.242.214,443,6,"....S.,.A....,.AP...,...R..,...R..,...R..,...R..,...R..,...R..,...R..",1,8,1,2,0,5.993
2026-02-10T07:21:48.891988140Z,192.168.0.184,61594,18.164.242.214,443,6,"....S.,.A....,.AP...,...R..,...R..,...R..,...R..,...R..,...R..,...R..",1,8,1,2,0,5.993
2026-02-10T07:21:48.901790402Z,192.168.0.184,61594,18.164.242.214,443,6,"....S.,.A....,.AP...,...R..,...R..,...R..,...R..,...R..,...R..,...R..",1,8,1,2,0,5.993
2026-02-10T06:22:52.703965462Z,192.168.0.184,61594,18.164.242.214,443,6,"....S.,.A....,.AP...,...R..,...R..,...R..,...R..,...R..,...R..,...R..",1,8,1,2,0,5.993
2026-02-09T07:00:42.537319335Z,192.168.0.184,61594,18.164.242.214,443,6,"....S.,.A....,.AP...,...R..,...R..,...R..,...R..,...R..,...R..,...R..",1,8,1,2,0,5.993
2026-02-10T07:21:48.902216557Z,192.168.0.184,61594,18.164.242.214,443,6,"....S.,.A....,.AP...,...R..,...R..,...R..,...R..,...R..,...R..,...R..",1,8,1,2,0,5.993
2026-02-10T07:21:48.892588508Z,192.168.0.184,61594,18.164.242.214,443,6,"....S.,.A....,.AP...,...R..,...R..,...R..,...R..,...R..,...R..,...R..",1,8,1,2,0,5.993
2026-02-10T06:23:15.858743279Z,192.168.0.184,61594,18.164.242.214,443,6,"....S.,.A....,.AP...,...R..,...R..,...R..,...R..,...R..,...R..,...R..",1,8,1,2,0,5.993
2026-02-10T07:21:48.902029199Z,192.168.0.184,61594,18.164.242.214,443,6,"....S.,.A....,.AP...,...R..,...R..,...R..,...R..,...R..,...R..,...R..",1,8,1,2,0,5.993
